Area,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,Palashbari,high ground,loam,5.30,1.51,0.06,0.13,48.6,10.5,0.49,0.69
Mithpukur,Palashbari,high ground,loam,5.20,1.68,0.08,0.14,65.0,6.4,0.36,0.83
Mithpukur,Palashbari,high ground,loam,5.30,1.41,0.07,0.20,23.5,16.4,034,0.36
Mithpukur,Palashbari,high ground,loam,5.20,1.35,0.07,0.29,16.8,5.0,0.30,0.61
Mithpukur,Palashbari,high ground,loam,5.00,1.59,0.09,0.11,84.8,20.9,0.48,0.54
Mithpukur,Palashbari,high ground,loam,5.30,1.66,0.07,0.50,13.6,9.4,0.36,0.27
Mithpukur,Palashbari,high ground,loam,5.90,1.53,0.08,0.32,28.2,5.0,0.32,0.66
Mithpukur,Palashbari,high ground,loam,6.40,1.40,0.07,0.17,75.0,6.4,0.40,1.77
Mithpukur,Berries,high ground,loam,5.00,1.31,0.07,0.11,86.1,7.5,0.46,1.81
Mithpukur,Berries,high ground,loam,5.20,1.23,0.06,0.22,81.9,18.2,0.70,0.61
Mithpukur,Berries,high ground,loam,4.70,1.41,0.08,0.24,28.2,54.7,0.30,0.34
Mithpukur,Berries,high ground,loam,5.30,1.28,0.06,0.25,39.5,6.5,0.53,0.40
Mithpukur,Berries,high ground,loam,5.70,1.121,0.06,0.08,11.8,4.4,0.25,0.48
Mithpukur,Berries,high ground,loam,5.20,1.29,0.06,0.04,15.3,6.9,0.23,0.43
Mithpukur,Berries,high ground,loam,6.50,1.55,0.07,0.08,110.0,28.5,0.48,0.80
Mithpukur,Berries,high ground,loam,5.20,1.27,0.06,068,18.6,10.9,0.26,0.44
Mithpukur,Berries,high ground,loam,5.20,1.59,0.09,0.11,15.5,8.4,0.26,0.42
Mithpukur,Berries,high ground,loam,4.70,2.08,0.11,0.11,41.5,31.7,0.24,0.55
Mithpukur,Berries,high ground,loam,5.00,1.28,0.07,0.30,25.3,9.5,0.21,0.72
Mithpukur,Berries,high ground,loam,5.80,1.25,0.06,0.13,16.0,7.7,0.21,1.01
Mithpukur,Gangachara,high ground,loam,4.80,1.24,0.07,0.10,22.8,8.0,0.30,0.57
Mithpukur,Gangachara,high ground,loam,5.00,2.21,0.13,0.09,47.1,38.2,0.48,1.23
Mithpukur,Gangachara,high ground,loam,5.40,2.16,0.11,0.34,14.7,25.6,0.32,0.69
Mithpukur,Gangachara,high ground,loam,5.30,2.28,0.10,0.09,8.6,14.9,0.24,0.41
Mithpukur,Gangachara,high ground,loam,5.00,2.53,0.12,0.10,22.5,14.9,0.32,0.37
Mithpukur,Gangachara,high ground,loam,5.10,1.40,0.37,0.26,8.9,7.2,0.21,0.28
Mithpukur,Gangachara,high ground,loam,5.20,1.848,0.10,0.15,20.8,10.5,0.28,0.63
Mithpukur,Gangachara,high ground,loam,4.90,1.70,0.09,0.11,29.0,11.3,0.28,0.42
Mithpukur,Gangachara,high ground,loam,5.10,1.79,0.09,0.08,10.7,9.4,0.28,0.21
Mithpukur,Gangachara,high ground,loam,5.00,1.38,0.10,0.15,7.1,2.1,0.24,0.20
Mithpukur,Gangachara,high ground,loam,5.30,1.68,0.10,0.10,41.1,1.1,0.21,0.20
Mithpukur,Gangachara,high ground,loam,5.50,1.35,0.09,0.14,14.8,1.8,0.24,0.20
Mithpukur,Gangachara,high ground,loam,5.20,1.58,0.09,0.19,11.1,1.5,0.28,0.08
Mithpukur,Gangachara,high ground,loam,5.00,2.18,0.12,0.11,25.0,7.2,0.63,0.23
Mithpukur,Gangachara,high ground,loam,5.20,2.01,0.12,0.14,12.8,1.4,0.32,0.23
Mithpukur,Gangachara,high ground,loam,5.00,1.54,0.07,0.07,31.5,5.7,0.40,0.11
Mithpukur,Gangachara,high ground,loam,5.10,1.32,0.08,0.18,14.3,2.9,0.24,0.43
Mithpukur,Gangachara,high ground,loam,5.00,2.21,0.13,0.11,13.1,7.6,0.46,0.32
Mithpukur,Gangachara,high ground,loam,4.80,2.94,0.09,0.31,22.2,2.5,0.34,0.24
Mithpukur,Gangachara,high ground,loam,4.60,1.35,0.08,0.26,15.3,6.8,0.50,0.36
Mithpukur,Gangachara,high ground,loam,5.20,1.60,0.09,0.12,4.8,12.2,0.34,0.24
Mithpukur,Gangachara,high ground,loam,6.00,1.86,0.11,0.09,4.8,12.6,0.34,0.30
Mithpukur,Gangachara,high ground,loam,5.30,1.77,0.11,0.05,3.2,12.2,0.24,0.57
Mithpukur,Gangachara,high ground,loam,5.50,1.85,0.11,0.07,8.5,9.6,0.16,0.31
Mithpukur,Gangachara,Medium high land,loam,5.20,1.68,0.10,0.06,6.2,17.3,0.23,0.56
Mithpukur,Gangachara,Medium high land,loam,4.90,1.88,0.11,0.05,15.3,15.2,0.46,0.52
Mithpukur,Gangachara,Medium high land,loam,5.10,1.45,0.08,0.07,24.0,13.5,0.32,0.58
Mithpukur,Gangachara,Medium high land,loam,5.40,1.27,0.07,0.13,9.0,7.5,0.24,0.39
Mithpukur,Gangachara,Medium high land,loam,5.20,1.61,0.09,0.15,43.3,16.9,0.52,0.87
Mithpukur,Gangachara,Medium high land,loam,4..80,2.61,0.15,0.39,77.5,23.8,0.40,0.23
Mithpukur,Gangachara,Medium high land,loam,5.00,1.39,0.08,0.31,17.6,16.9,0.32,0.52
Mithpukur,Gangachara,Medium high land,loam,5.70,0.96,0.05,0.15,6.3,13.5,0.38,0.68
Mithpukur,Gangachara,Medium high land,loam,5.90,0.93,0.06,0.10,7.7,10.0,0.22,0.28
Mithpukur,Gangachara,Medium high land,loam,5.50,1.66,0.10,0.10,2.9,20.8,0.24,0.43
Mithpukur,Gangachara,Medium high land,loam,5.00,1.94,0.12,0.04,6.1,17.8,0.53,0.64
Mithpukur,Gangachara,Medium high land,loam,5.00,3.09,0.16,0.08,42.0,28.1,0.38,0.83
Mithpukur,Gangachara,Medium high land,loam,5.40,1.68,0.10,0.25,7.1,11.8,0.40,1.24
Mithpukur,Gangachara,Medium high land,loam,5.10,2.58,0.13,0.09,11.9,21.9,0.34,0.56
Mithpukur,Gangachara,Medium high land,loam,5.20,2.28,0.13,0.23,18.3,15.0,0.51,0.76
Mithpukur,Gangachara,Medium high land,loam,4.70,1.34,0.08,0.19,23.8,15.0,0.73,2.01
Mithpukur,Gangachara,Medium high land,loam,5.20,1.69,0.10,0.21,19.0,16.8,0.51,0.10
Mithpukur,Gangachara,Medium high land,loam,5.30,1.75,0.10,0.10,8.8,21.1,0.40,0.48
Mithpukur,Gangachara,Medium high land,loam,5.90,1.36,0.07,0.06,11.3,18.0,0.28,0.29
Mithpukur,Gangachara,Medium high land,loam,5.30,2.56,0.13,0.22,6.3,19.3,0.36,0.37
Mithpukur,Gangachara,Medium high land,loam,5.20,1.99,0.15,0.10,5.7,19.3,0.32,0.60
Mithpukur,Gangachara,Medium high land,loam,5.50,2.76,0.15,0.08,48.3,23.6,0.49,0.23
Mithpukur,Gangachara,Medium high land,loam,5.20,2.41,0.14,0.35,12.3,14.2,0.30,1.24
Mithpukur,Gangachara,Medium high land,loam,5.10,2.32,0.13,0.09,7.3,12.9,0.30,0.52
